txid,timestamp,src_ip,dst_ip,src_port,dst_port,input_addresses,output_addresses,num_inputs,num_outputs,amount_btc,fee_btc,fee_ratio,script_type,geo_country,asn,organization,india_state,india_city,india_region,transaction_scope,india_link_type,is_india_linked,cross_border_flag,external_country,transaction_value_inr,event_window_id,synthetic_label
tx_f0626add74dfbfb3,2026-08-29T07:52:05Z,203.221.74.253,203.160.47.36,8333,8333,bc1q3f5b2da846e8;bc1qbe84020467b0;bc1q49860ec47f7a,bc1qc6ae653003de;bc1qf565599c0e98,3,2,0.572985,7.083e-05,0.000124,P2WSH,GB,AS2856,BT Group UK,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,AE,4297387.5,WIN_120,0
tx_b61a9f4e74d59cbf,2026-08-30T08:20:05Z,194.126.160.40,194.139.252.108,8333,8333,bc1qc06e93f56ddd,bc1q574dd3b4304b;bc1qae77c70806b6,1,2,2.460098,0.00028933,0.000118,P2PKH,KR,AS4766,Korea Telecom,Not Applicable,Not Applicable,Not Applicable,Cross-Border,India Inbound,true,true,IN,18450735.0,WIN_103,0
tx_59e2619f4860743f,2026-08-29T19:14:05Z,142.79.165.76,198.131.196.183,8333,8333,bc1q4a5524400b4a,bc1qdc38959e11d9,1,1,0.870511,0.00013568,0.000156,P2PKH,CH,AS3303,Swisscom Switzerland,Not Applicable,Not Applicable,Not Applicable,Cross-Border,India Graph-Linked,true,true,KR,6528832.5,WIN_129,0
tx_8e79a7e279d1723c,2026-08-30T12:39:05Z,103.60.165.190,198.217.151.121,8333,8333,bc1q95f0ffde523c;bc1q3f6cfc8e5b4e,bc1qfed55469b2d3,2,1,1.819102,9.844e-05,5.4e-05,TAPROOT,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,13643265.0,WIN_139,0
tx_e49bb28b54bbe76f,2026-08-30T23:53:05Z,142.62.242.105,194.72.222.228,2203,8333,bc1qade83fd6dbf4;bc1qf9d2db7534f5,bc1q50b7d2bd836c,2,1,2.105584,0.00037201,0.000177,TAPROOT,IN,AS9829,BSNL India,Gujarat,Ahmedabad,West,Domestic,India Domestic,true,false,None,15791880.0,WIN_137,0
tx_37870352e88418a8,2026-08-30T14:29:05Z,185.219.10.212,194.81.11.170,8333,8333,bc1q1ea238028525;bc1q89bf1aa1ccf0;bc1qa648aef8e46a,bc1q7cd0b7144243,3,1,1.511747,0.00020848,0.000138,P2WSH,IN,AS45609,Bharti Airtel Ltd,Tamil Nadu,Chennai,South,Cross-Border,India Outbound,true,true,NG,11338102.5,WIN_129,0
tx_0d84d75022a418da,2026-08-30T02:26:05Z,194.72.222.228,203.151.162.29,47508,8333,bc1q8b3fac74dd0d,bc1qac009a08a8f9;bc1qfef938397a03,1,2,1.310599,0.00038148,0.000291,TAPROOT,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,9829492.5,WIN_120,0
tx_3aac7935f7eb005c,2026-08-30T20:26:05Z,103.75.24.220,198.136.81.178,41704,8333,bc1q283d20af0d58,bc1qae77c70806b6;bc1q179cbdc4bb4b,1,2,0.200086,0.00038464,0.001922,TAPROOT,NL,AS1103,SURF B.V. Netherlands,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,CH,1500645.0,WIN_118,0
tx_1d96891b6dca5501,2026-08-30T00:06:05Z,198.83.136.71,198.152.75.193,11162,8333,bc1qbc4350e38a17,bc1q91c3578120be,1,1,0.684339,9.876e-05,0.000144,P2WSH,RU,AS12389,Rostelecom Russia,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,5132542.5,WIN_127,0
tx_d32b5a31a19794ec,2026-08-30T01:47:05Z,185.207.80.111,203.179.61.1,31835,8333,bc1qfc3a3024f10b;bc1q979753eaacf6,bc1qd3be2e39d9c2,2,1,1.414702,0.000284,0.000201,P2PKH,JP,AS2516,KDDI Corporation Japan,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,10610265.0,WIN_103,0
tx_cacfc6e307e01a39,2026-08-31T01:12:05Z,194.172.197.146,203.179.61.1,28847,8333,bc1qb62df4ab6f7f;bc1q3828e9c2193c,bc1q6ea84a462c98,2,1,2.000942,0.00025324,0.000127,P2WSH,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,15007065.0,WIN_127,0
tx_d6fcfb65657e375a,2026-08-30T19:12:05Z,45.157.242.2,194.138.37.80,2257,8333,bc1qb8fd3d0c1494;bc1q4a5524400b4a,bc1q4832edd1b2a9;bc1qf753913e13c3,2,2,1.528178,0.00029015,0.00019,P2SH,IN,AS24560,Bharti Airtel Ltd,Karnataka,Bengaluru,South,Domestic,India Domestic,true,false,None,11461335.0,WIN_116,0
tx_588b42f879740816,2026-08-31T03:25:05Z,198.139.188.112,203.151.162.29,8333,8333,bc1qc06e93f56ddd,bc1q9351f56f0645,1,1,1.742905,0.00028015,0.000161,P2PKH,JP,AS2516,KDDI Corporation Japan,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,AE,13071787.5,WIN_119,0
tx_12127a06ad058cc0,2026-08-29T08:54:05Z,194.22.76.110,198.239.48.136,8333,8333,bc1q723d0cdfbe97,bc1q31fe6d16560c,1,1,0.069116,0.0002205,0.00319,TAPROOT,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,518370.0,WIN_119,0
tx_af4837e64e502243,2026-08-30T02:46:05Z,198.69.71.44,103.51.66.79,8333,8333,bc1q4832edd1b2a9;bc1q4cd93e8f57cf;bc1q944c0a9d2e23,bc1qe75fdeedd4d4,3,1,1.767731,0.00032494,0.000184,TAPROOT,RU,AS12389,Rostelecom Russia,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,13257982.5,WIN_110,0
tx_97eb088319d6a037,2026-08-30T09:23:05Z,103.48.25.104,194.19.113.109,8333,8333,bc1q74221c4d7245;bc1qcb680ac124cc,bc1q4708a1e7a0c6;bc1qb10e8721f536,2,2,1.811314,0.00039351,0.000217,TAPROOT,IN,AS24560,Bharti Airtel Ltd,Karnataka,Bengaluru,South,Domestic,India Domestic,true,false,None,13584855.0,WIN_101,0
tx_bfdc553fed9cec15,2026-08-30T20:54:05Z,198.54.217.6,103.109.142.107,32297,8333,bc1q52ed13c7130c;bc1qc82256c52699;bc1q021ac9a9c97c,bc1q1ea238028525;bc1qe6e7aaa2005f,3,2,1.471016,5.245e-05,3.6e-05,P2SH,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,11032620.0,WIN_120,0
tx_d7c5a90cfa51f214,2026-08-30T05:42:05Z,203.113.100.152,45.85.217.3,62352,8333,bc1q271bb10dbca1,bc1qf7f5baeb4d1a;bc1q38aaa43819e2,1,2,1.293898,0.00025478,0.000197,P2SH,IN,AS4755,Tata Communications,Delhi NCR,New Delhi,North,Domestic,India Domestic,true,false,None,9704235.0,WIN_113,0
tx_93a1daa579f14faa,2026-08-29T09:43:05Z,194.168.35.231,185.207.80.111,53525,8333,bc1q727f028b885d;bc1q542f8fe38a22;bc1q4c3b76228151,bc1q67c87712a82e;bc1qb10e8721f536,3,2,1.184871,0.00033032,0.000279,P2SH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Cross-Border,India Inbound,true,true,IN,8886532.5,WIN_126,0
tx_52c0cd974cabb375,2026-08-29T21:33:05Z,45.152.162.64,203.144.49.123,59333,8333,bc1q3f5acf6f0bd9,bc1q1dbf258a8199,1,1,2.089267,0.00038166,0.000183,TAPROOT,KR,AS4766,Korea Telecom,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,15669502.5,WIN_135,0
tx_e8ec0842e8ab57f3,2026-08-29T10:03:05Z,45.152.162.64,142.57.224.150,64145,8333,bc1q32be7a6e8156,bc1qc5b1a9fdbc1c;bc1q38aaa43819e2,1,2,0.872153,0.00016151,0.000185,P2WPKH,IN,AS9829,BSNL India,Kerala,Kochi,South,Domestic,India Domestic,true,false,None,6541147.5,WIN_124,0
tx_63e84e8564d5f61d,2026-08-29T09:25:05Z,45.91.225.77,194.172.197.146,7029,8333,bc1q63b2b65d40b2,bc1q38aaa43819e2;bc1qc5cbbe8bfb56,1,2,0.28816,0.00025744,0.000893,P2WSH,AE,AS5384,Emirates Telecom UAE,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,2161200.0,WIN_135,0
tx_fe18ca7f2bff0c1d,2026-08-30T09:38:05Z,103.48.25.104,45.77.168.22,59159,8333,bc1qfc3a3024f10b,bc1qfcbd969e2963;bc1qc14726423a1f,1,2,2.150025,0.00022977,0.000107,P2PKH,IN,AS4755,Tata Communications,West Bengal,Kolkata,East,Domestic,India Domestic,true,false,None,16125187.5,WIN_140,0
tx_6c46eea792f2a7e1,2026-08-30T22:05:05Z,103.51.66.79,185.190.109.91,8333,8333,bc1qf753913e13c3;bc1qe33c51e3150f,bc1q93eaca125aef,2,1,0.745847,0.00014473,0.000194,P2WSH,NL,AS1103,SURF B.V. Netherlands,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,5593852.5,WIN_116,0
tx_016ecf117ef94070,2026-08-30T16:47:05Z,194.43.166.73,103.109.142.107,8333,8333,bc1qe6a28c61283e,bc1q9e86400346da,1,1,0.225576,0.00014835,0.000658,P2SH,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,1691820.0,WIN_101,0
tx_e05c48c4beba9df4,2026-08-31T04:13:05Z,45.104.87.139,45.210.231.41,8333,8333,bc1q5cc29db03b44;bc1qbf533f59d2b6;bc1q36bb3a66d1b4,bc1q3f9620f52837,3,1,1.824755,0.0003101,0.00017,P2SH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,13685662.5,WIN_103,0
tx_8c88523b1e788315,2026-08-31T07:30:05Z,45.210.104.211,194.81.11.170,63521,8333,bc1q49860ec47f7a,bc1qca77482a47d2,1,1,0.573891,0.0001164,0.000203,P2WSH,RU,AS12389,Rostelecom Russia,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,4304182.5,WIN_130,0
tx_145013bb4a0731bc,2026-08-30T19:44:05Z,203.85.86.136,185.190.109.91,8333,8333,bc1qc82256c52699,bc1q8fbc21be7142;bc1qfed55469b2d3,1,2,1.174676,0.00022329,0.00019,TAPROOT,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,NL,8810070.0,WIN_124,0
tx_376281c07babfd49,2026-08-30T21:01:05Z,198.139.188.112,194.43.166.73,14718,8333,bc1q1dbf258a8199,bc1qd7f1792c763a;bc1q8a3ed6625168,1,2,0.421109,0.00010432,0.000248,P2PKH,NG,AS37105,MainOne Nigeria,Not Applicable,Not Applicable,Not Applicable,Cross-Border,India Graph-Linked,true,true,SG,3158317.5,WIN_106,0
tx_f43ed6fac768af81,2026-08-29T07:56:05Z,45.210.104.211,45.43.181.137,60347,8333,bc1q3f5acf6f0bd9;bc1qd3be2e39d9c2,bc1qfc3a3024f10b;bc1qd90e1934b3ae,2,2,0.223732,0.00030621,0.001369,P2PKH,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,NL,1677990.0,WIN_135,0
tx_a620fce3b283d378,2026-08-30T01:17:05Z,203.85.86.136,194.138.37.80,48792,8333,bc1q86b3c4bfae41;bc1q89df1998295e;bc1qbccd2c3573ad,bc1q7962b73d323e,3,1,1.109121,0.00030177,0.000272,P2SH,AE,AS5384,Emirates Telecom UAE,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,NG,8318407.5,WIN_136,0
tx_b4a914356c8d0f41,2026-08-31T02:54:05Z,194.193.55.81,45.95.49.149,8333,8333,bc1q07d0f78e1433;bc1qf7f7abcec3af,bc1q8b3fac74dd0d;bc1q41f2bfa7333b,2,2,1.546599,0.00026384,0.000171,TAPROOT,GB,AS2856,BT Group UK,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,SG,11599492.5,WIN_118,0
tx_543adf81f07aa515,2026-08-29T09:43:05Z,194.43.166.73,142.66.84.16,64799,8333,bc1qd90e1934b3ae;bc1q93eaca125aef;bc1qcd745a23893f,bc1q943d64364c06;bc1qb5ac0d6e0f14,3,2,1.47873,0.00034703,0.000235,P2PKH,GB,AS2856,BT Group UK,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,11090475.0,WIN_103,0
tx_a794144837d769f8,2026-08-30T02:05:05Z,203.168.99.42,194.12.85.64,1189,8333,bc1qc7c72235b3bb;bc1q2bed67cc031a,bc1q74a8f86ee6da,2,1,1.877684,0.00034866,0.000186,P2WPKH,NL,AS1103,SURF B.V. Netherlands,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,NG,14082630.0,WIN_122,0
tx_972e528ec327af25,2026-08-31T02:34:05Z,103.215.216.100,142.118.225.46,35298,8333,bc1q179cbdc4bb4b;bc1qc5b1a9fdbc1c,bc1q3f5b2da846e8,2,1,0.883349,0.00039691,0.000449,P2SH,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,6625117.5,WIN_136,0
tx_116d6cce54eaf63a,2026-08-31T05:23:05Z,198.84.222.78,203.197.101.27,63369,8333,bc1q43107dc65cf1;bc1qbbdf4c86ac5c,bc1q7ea576e8ddb8,2,1,0.430359,0.00038666,0.000898,TAPROOT,JP,AS2516,KDDI Corporation Japan,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,3227692.5,WIN_121,0
tx_74af5564819e4cb6,2026-08-30T14:33:05Z,45.205.128.11,203.168.99.42,44545,8333,bc1q87fd7693ae5f;bc1q6873929563ed;bc1qe6e7aaa2005f,bc1qe7f65bffc34f,3,1,2.076375,0.00034019,0.000164,P2WSH,KR,AS4766,Korea Telecom,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,JP,15572812.5,WIN_104,0
tx_43f4f89ddde06d24,2026-08-29T10:11:05Z,194.138.37.80,194.217.181.60,8333,8333,bc1q6a1fdd025868;bc1q63b2b65d40b2;bc1qae57903eed0f,bc1q50b7d2bd836c;bc1qfc3a3024f10b,3,2,0.65098,0.00011423,0.000175,P2WPKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,4882350.0,WIN_112,0
tx_fee8602ca8300092,2026-08-30T19:44:05Z,194.81.11.170,198.131.196.183,38205,8333,bc1q3a9e03c7e5b8;bc1q4a5524400b4a,bc1q33628b59b756;bc1q439f1fc2b5b9,2,2,1.142739,0.0002642,0.000231,TAPROOT,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,8570542.5,WIN_106,0
tx_12e3fb49127de454,2026-08-29T17:50:05Z,103.75.24.220,142.20.124.60,8333,8333,bc1qd4b2d6daa2c8;bc1q64a1aca5187a;bc1qd4798382c93e,bc1qcb680ac124cc,3,1,1.615754,0.0002518,0.000156,P2WPKH,KR,AS4766,Korea Telecom,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,12118155.0,WIN_129,0
